Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/Politics-Comment,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_50.started,feedback_50.stopped,press_spacebar_2.keys,press_spacebar_2.rt,press_spacebar_2.duration,show_feeback_hi.thisRepN,show_feeback_hi.thisTrialN,show_feeback_hi.thisN,show_feeback_hi.thisIndex,show_feeback_hi.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,212.1785,215.7791,0,3601,-0.349999993,0.219444434,1,0,0,one_red_dot,215.7792,216.7736,0,2,2,5,1,colour,images/1greenDot.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,216.7743,220.8908,1,4117,0.095370399,0.24166667,1,0,0,three_green_crosses,220.8921,221.8909,0,3,3,21,1,colour,images/2greenDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,221.8919,225.0914,1,3200,-0.327777757,0.201851845,1,0,0,one_red_dot,225.0916,226.0908,0,4,4,9,1,colour,images/1redDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,226.0914,229.8576,0,3766,0.12962963,0.223148152,1,0,0,three_green_crosses,229.8585,230.8578,0,5,5,47,1,colour,images/3yellowTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,230.8585,234.4578,0,3599,-0.131481453,0.236111111,1,0,0,two_yellow_triangles,234.458,235.458,0,6,6,35,1,colour,images/3blueTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,235.4672,238.108,1,2641,0.095370399,0.27037036,1,0,0,three_green_crosses,238.1092,239.1082,0,0,0,36,1,number,images/3greenCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,239.1091,243.5131,1,4404,0.323148233,0.252777771,1,0,0,four_blue_stars,243.5133,244.5087,0,1,1,51,1,number,images/4blueTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,244.5097,247.4586,1,2949,0.332407492,0.224074063,1,0,0,four_blue_stars,247.4588,248.447,0,2,2,50,1,number,images/4blueStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,248.4474,251.3256,1,2878,0.134259259,0.252777771,1,0,0,three_green_crosses,251.3257,252.3255,0,3,3,34,1,number,images/3blueStars.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,252.3262,254.259,1,1933,-0.127777735,0.250925929,1,0,0,two_yellow_triangles,254.2591,255.259,0,4,4,20,1,number,images/2greenCrosses.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,255.2595,257.5092,1,2250,0.395370342,0.2537037,1,0,0,four_blue_stars,257.5094,258.5093,0,5,5,49,1,number,images/4blueDots.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,258.5099,261.0596,1,2550,0.350000028,0.259259259,1,0,0,four_blue_stars,261.0597,262.0594,0,6,6,63,1,number,images/4yellowTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,262.0677,264.1594,0,2092,0.342592593,0.24166667,1,0,0,four_blue_stars,264.1601,265.1598,0,0,0,61,1,shape,images/4yellowDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,265.1608,267.4097,0,2249,-0.37037037,0.235185182,1,0,0,one_red_dot,267.4099,268.4096,0,1,1,7,1,shape,images/1greenTriangle.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,268.4103,273.2601,1,4850,-0.354629623,0.218518522,1,0,0,one_red_dot,273.2607,274.2602,0,2,2,5,1,shape,images/1greenDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,274.261,276.8934,1,2633,0.077777792,0.261111101,1,0,0,three_green_crosses,276.8935,277.8934,0,3,3,32,1,shape,images/3blueCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,277.8942,280.8936,1,3000,0.325000057,0.248148141,1,0,0,four_blue_stars,280.8938,281.8937,0,4,4,54,1,shape,images/4greenStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,281.8943,285.3772,0,3483,0.362962935,0.237962952,1,0,0,four_blue_stars,285.378,286.3775,0,5,5,60,1,shape,images/4yellowCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,286.3783,289.0107,0,2633,0.101851852,0.232407411,1,0,0,three_green_crosses,289.0109,290.0108,0,6,6,41,1,shape,images/3redDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,128:192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,290.0188,295.0947,0,5076,0.399999972,0.215740734,1,0,0,four_blue_stars,295.0949,296.0823,0,0,0,59,1,colour,images/4redTriangles.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,296.0827,298.3279,1,2245,0.380555612,0.25462963,1,0,0,four_blue_stars,298.3285,299.3278,0,1,1,51,1,colour,images/4blueTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,299.3283,302.4781,0,3150,0.061111097,0.24537037,1,0,0,three_green_crosses,302.479,303.4781,0,2,2,33,1,colour,images/3blueDots.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,303.4791,305.6616,0,2183,-0.137036995,0.25462963,1,0,0,two_yellow_triangles,305.6617,306.6617,0,3,3,19,1,colour,images/2blueTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,306.6624,309.5119,0,2850,-0.113888847,0.234259252,1,0,0,two_yellow_triangles,309.512,310.5121,0,4,4,3,1,colour,images/1blueTriangle.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,310.5126,312.8952,0,2383,-0.349999993,0.225925922,1,0,0,one_red_dot,312.8954,313.8956,0,5,5,1,1,colour,images/1blueDot.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,313.8959,315.8787,1,1983,0.097222222,0.251851841,1,0,0,three_green_crosses,315.8793,316.8788,0,6,6,5,1,colour,images/1greenDot.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,316.8862,319.0123,0,2126,-0.384259259,0.237962952,1,0,0,one_red_dot,319.0132,320.0127,0,0,0,11,1,shape,images/1redTriangle.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,320.0135,323.4125,0,3399,0.330555527,0.235185182,1,0,0,four_blue_stars,323.4126,324.4127,0,1,1,60,1,shape,images/4yellowCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,324.4133,327.213,1,2800,0.332407492,0.232407411,1,0,0,four_blue_stars,327.2139,328.2012,0,2,2,30,1,shape,images/2yellowStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,328.2017,331.6963,0,3495,-0.378703683,0.230555552,1,0,0,one_red_dot,331.6972,332.6965,0,3,3,14,1,shape,images/1yellowStar.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69ef51b8a9c05edba3923015,67,6aa09bb296af1050f055ee3b,2026-09-10_05h37.54.861,Reading the Room,2026.1.3,Win32,59.88023952,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,332.6971,335.4632,1,2766,0.088888875,0.244444441,1,0,0,three_green_crosses,335.4642,336.4637,0,4,4,28,1,shape,images/2yellowCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
