Participant_Info_Consent.block_1/Consent,participant,session,STUDY_ID,date,expName,psychopyVersion,OS,frameRate,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Ethnicity-Comment,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/Politics-Comment,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,198.5548,201.8529,1,3299,0.150889757,0.225477431,1,0,0,three_green_crosses,201.8535,202.852,0,5,5,28,1,shape,images/2yellowCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,202.8534,206.3523,0,3500,0.130920139,0.26219184,1,0,0,three_green_crosses,206.3531,207.3537,0,6,6,43,1,shape,images/3redTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,128:192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,207.3717,209.6203,1,2249,0.130920139,0.26219184,1,0,0,three_green_crosses,209.6219,210.6219,0,0,0,52,1,colour,images/4greenCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,210.6234,213.889,0,3266,0.421835937,0.268563368,1,0,0,four_blue_stars,213.8912,214.8877,0,1,1,57,1,colour,images/4redDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,214.8891,219.037,0,4149,-0.388394097,0.198116319,1,0,0,one_red_dot,219.0377,219.9388,0,2,2,49,1,colour,images/4blueDots.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,219.9394,222.1882,1,2249,-0.055082465,0.207699653,1,0,0,two_yellow_triangles,222.1906,223.1895,0,3,3,47,1,colour,images/3yellowTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,223.191,226.1233,0,2932,0.118949653,0.218993056,1,0,0,three_green_crosses,226.1244,227.1235,0,4,4,41,1,colour,images/3redDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,227.1251,229.5578,1,2433,0.465377604,0.18874566,1,0,0,,229.5586,230.5559,0,5,5,35,1,colour,images/3blueTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,230.5576,233.64,0,3082,-0.304934896,0.256675347,1,0,0,one_red_dot,233.6425,234.6376,0,6,6,53,1,colour,images/4greenDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,234.6535,236.7384,1,2084,0.109509549,0.195203993,1,0,0,three_green_crosses,236.7406,237.7388,0,0,0,40,1,number,images/3redCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,237.7407,241.5565,1,3816,-0.295342882,0.208771701,1,0,0,one_red_dot,241.5578,242.5575,0,1,1,9,1,number,images/1redDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,242.5587,245.3398,1,2782,-0.076961806,0.205698785,1,0,0,two_yellow_triangles,245.341,246.3384,0,2,2,19,1,number,images/2blueTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,246.3395,248.9401,1,2601,0.317829861,0.18890625,1,0,0,four_blue_stars,248.9412,249.9386,0,3,3,58,1,number,images/4redStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,249.9403,252.9427,0,3003,0.16765625,0.191840278,1,0,0,three_green_crosses,252.945,253.9392,0,4,4,5,1,number,images/1greenDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,253.9412,256.6418,0,2701,-0.108624132,0.177100694,1,0,0,two_yellow_triangles,256.6421,257.6407,0,5,5,45,1,number,images/3yellowDots.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,257.6416,260.2728,0,2631,-0.398554688,0.222469618,1,0,0,one_red_dot,260.2731,261.2757,0,6,6,24,1,number,images/2redCrosses.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,261.2926,264.457,1,3165,0.058398437,0.204709201,1,0,0,three_green_crosses,264.4586,265.4578,0,0,0,60,1,shape,images/4yellowCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,265.4589,268.1409,1,2683,0.317135417,0.233506944,1,0,0,four_blue_stars,268.1412,269.1411,0,1,1,58,1,shape,images/4redStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,269.1427,272.1256,0,2984,0.085538194,0.236154514,1,0,0,three_green_crosses,272.1272,273.1254,0,2,2,5,1,shape,images/1greenDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62a1ef4b118ae7c6c666e130,34,6aa09bb296af1050f055ee3b,2026-09-10_03h52.37.587,Reading the Room,2026.1.3,MacIntel,59.99880002,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,273.1266,275.3738,1,2247,-0.10890191,0.247456597,1,0,0,two_yellow_triangles,275.3752,276.3748,0,3,3,15,1,shape,images/1yellowTriangle.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
